OrderID,OrderDate,CustomerID,BookID,BookName,Author,BookCategory,PriceINR,Quantity,TotalINR,PaymentType,StoreLocation
O100001,8/18/2023 23:40,C2124,B1102,Broken Dreams - Vol 3,Ananya Verma,Fantasy,1218.43,1,1218.43,Cash,Kolkata
O100002,7/24/2023 0:44,C3496,B1071,Golden Promises,Siddharth Khan,Romance,945.55,1,945.55,Card,Mumbai
O100003,11/16/2024 4:09,C4571,B1082,Golden Empire - Vol 10,Ananya Verma,Self-Help,257.87,1,257.87,NetBanking,Chennai
O100004,6/21/2023 22:03,C2876,B1116,Bright Empire (117),Deepak Gupta,Fantasy,948.94,2,1897.88,Card,Chennai
O100005,8/15/2024 0:56,C6111,B1021,Broken Song,Rhea Mehta,Non-Fiction,197.79,2,395.58,NetBanking,Pune
O100006,3/19/2023 21:33,C4978,B1029,Forgotten Forest,Deepak Mehta,Romance,412.82,1,412.82,Cash,Chennai
O100007,4/4/2025 4:24,C1672,B1020,Gentle Echoes - Vol 7,Rhea Desai,Children,971.51,1,971.51,UPI,Pune
O100008,3/12/2023 18:25,C6590,B1107,Forgotten Song - Vol 3,Nisha Mehta,Fantasy,151.8,1,151.8,Cash,Pune
O100009,4/19/2023 15:47,C6934,B1041,Lonely Mirror,Siddharth Verma,Self-Help,184.35,4,737.4,NetBanking,Mumbai
O100010,6/30/2023 18:59,C5425,B1014,Lost Dreams,Nisha Iyer,Biography,748.92,2,1497.84,NetBanking,Ahmedabad
O100011,4/25/2025 21:34,C5397,B1050,Modern Stars,Vikram Khan,Biography,647.42,5,3237.1,UPI,Bengaluru
O100012,10/13/2023 16:24,C4995,B1002,Gentle Rivers,Maya Das,Non-Fiction,1305.86,1,1305.86,NetBanking,Pune
O100013,1/30/2023 17:59,C6325,B1072,Glowing Legends,Maya Iyer,Fantasy,209.71,3,629.13,Card,Ahmedabad
O100014,12/30/2023 9:24,C6576,B1059,Broken Memory,Amit Verma,Romance,896.77,1,896.77,UPI,Chennai
O100015,1/11/2023 18:48,C4130,B1089,Lost Paths,Deepak Roy,History,254.69,1,254.69,Cash,Bengaluru
O100016,5/15/2024 20:12,C4937,B1110,Golden Skies,Meera Patel,Biography,1062.22,1,1062.22,NetBanking,Ahmedabad
O100017,3/22/2025 0:37,C2524,B1007,Silent Promises,Nisha Gupta,Self-Help,167.42,3,502.26,UPI,Bengaluru
O100018,12/9/2024 8:51,C6016,B1035,Gentle Paths,Karan Iyer,Biography,371.3,2,742.6,UPI,Ahmedabad
O100019,6/27/2024 12:30,C7971,B1005,Gentle Forest,Arjun Sharma,History,406.75,1,406.75,UPI,Hyderabad
O100020,10/5/2023 11:09,C5118,B1092,Lost Echoes,Ananya Khan,Self-Help,1457.06,2,2914.12,Card,Delhi
O100021,11/20/2023 4:21,C9779,B1033,Fading Pages - Vol 7,Ananya Bose,Romance,664.91,3,1994.73,Card,Bengaluru
O100022,1/26/2025 17:37,C5530,B1094,Lonely Pages,Karan Roy,Romance,1391.26,1,1391.26,UPI,Delhi
O100023,10/31/2023 8:16,C6912,B1086,Broken Legends,Rhea Bose,Romance,838.23,4,3352.92,Card,Chennai
O100024,12/26/2024 19:26,C3073,B1084,Midnight Rivers,Isha Sharma,Fiction,655.99,1,655.99,UPI,Kolkata
O100025,7/20/2024 10:38,C3068,B1052,Gentle Legends,Meera Roy,Fiction,929.13,4,3716.52,NetBanking,Delhi
O100026,8/10/2024 10:21,C8690,B1059,Broken Memory,Amit Verma,Fiction,868.38,1,868.38,NetBanking,Ahmedabad
O100027,7/8/2023 1:52,C5136,B1014,Lost Dreams,Nisha Iyer,Fantasy,347.9,1,347.9,NetBanking,Delhi
O100028,2/15/2024 17:54,C2213,B1008,Crimson Stars - Vol 6,Priya Sharma,Non-Fiction,1184.93,1,1184.93,Cash,Mumbai
O100029,4/10/2025 20:29,C5978,B1087,Crimson Echoes,Meera Roy,Mystery,139.42,1,139.42,Cash,Bengaluru
O100030,7/25/2024 15:09,C4697,B1007,Silent Promises,Nisha Gupta,Non-Fiction,1125.3,2,2250.6,NetBanking,Ahmedabad
O100031,11/1/2023 21:25,C8025,B1004,Wild Pages - Vol 4,Rahul Das,Self-Help,1397.37,1,1397.37,UPI,Kolkata
O100032,9/10/2025 3:36,C4404,B1027,Burning Voices,Karan Bose,Children,1310.22,1,1310.22,Card,Chennai
O100033,6/10/2023 8:43,C3847,B1033,Fading Pages - Vol 7,Ananya Bose,Non-Fiction,251.57,1,251.57,Cash,Mumbai
O100034,2/23/2024 16:24,C8699,B1061,Golden Memory,Priya Bose,Fiction,568.43,2,1136.86,UPI,Kolkata
O100035,10/23/2023 10:17,C8438,B1103,Broken Promises,Amit Khan,Romance,498.84,1,498.84,Cash,Bengaluru
O100036,3/17/2025 22:45,C4241,B1098,Bright Song - Vol 5,Vikram Gupta,Sci-Fi,284.92,2,569.84,NetBanking,Delhi
O100037,8/19/2023 23:34,C3441,B1000,Bright Paths,Ananya Das,History,1115.27,1,1115.27,UPI,Mumbai
O100038,3/3/2023 6:02,C6039,B1013,Midnight Sea,Neha Roy,Non-Fiction,800.94,1,800.94,UPI,Ahmedabad
O100039,4/24/2024 11:04,C7594,B1014,Lost Dreams,Nisha Iyer,Non-Fiction,272.92,1,272.92,UPI,Ahmedabad
O100040,3/24/2023 21:46,C1653,B1050,Modern Stars,Vikram Khan,Self-Help,163.34,1,163.34,NetBanking,Hyderabad
O100041,9/14/2023 0:56,C2496,B1051,Midnight Forest,Saurav Sharma,Children,896.76,1,896.76,Card,Kolkata
O100042,8/13/2024 1:27,C3870,B1100,Secret Stars (101),Arjun Roy,Sci-Fi,463.77,1,463.77,NetBanking,Ahmedabad
O100043,7/5/2023 21:18,C8141,B1042,Ancient Sea,Amit Mehta,Sci-Fi,400.02,3,1200.06,NetBanking,Delhi
O100044,12/23/2023 14:52,C6460,B1070,Silent Rivers,Amit Verma,Self-Help,519.57,1,519.57,UPI,Delhi
O100045,12/4/2023 14:59,C9117,B1065,Crimson Skies (66),Tara Bose,Mystery,980.98,1,980.98,UPI,Pune
O100046,2/7/2023 16:33,C2442,B1116,Bright Empire (117),Deepak Gupta,History,1321.74,2,2643.48,UPI,Chennai
O100047,4/29/2023 14:42,C9431,B1043,Gentle Mirror,Rohit Gupta,Fantasy,694.37,2,1388.74,Cash,Ahmedabad
O100048,2/25/2023 6:49,C9494,B1118,Burning Sea,Arjun Verma,Biography,1355.71,1,1355.71,UPI,Ahmedabad
O100049,2/17/2025 1:52,C4335,B1096,Gentle Cities,Rahul Desai,Self-Help,495.27,1,495.27,UPI,Mumbai
O100050,3/24/2024 17:38,C2989,B1115,Golden Stars - Vol 12,Ananya Gupta,Sci-Fi,606.19,1,606.19,Cash,Bengaluru
O100051,11/15/2023 20:03,C1224,B1069,Gentle Skies - Vol 9,Rahul Khan,Mystery,824.32,1,824.32,NetBanking,Delhi
O100052,5/11/2025 4:07,C8560,B1036,Bright Song,Deepak Desai,Romance,1074.87,1,1074.87,Cash,Mumbai
O100053,8/13/2025 10:37,C9337,B1023,Hidden Garden,Karan Bose,Self-Help,1420.27,1,1420.27,UPI,Pune
O100054,4/28/2024 8:52,C8483,B1095,Wild Paths,Deepak Bose,Self-Help,889.62,1,889.62,Card,Pune
O100055,8/1/2025 21:49,C9327,B1061,Golden Memory,Priya Bose,Romance,1460.09,4,5840.36,Card,Delhi
O100056,3/2/2025 15:06,C6568,B1038,Modern Machine - Vol 12,Rhea Khan,Sci-Fi,805.71,1,805.71,UPI,Kolkata
O100057,1/13/2025 10:52,C9022,B1112,Ancient Echoes,Ananya Das,Sci-Fi,1495.88,1,1495.88,Card,Ahmedabad
O100058,5/10/2024 12:33,C6446,B1001,Golden Echoes - Vol 2,Maya Sharma,History,813.19,1,813.19,NetBanking,Ahmedabad
O100059,6/9/2025 6:52,C4912,B1100,Secret Stars (101),Arjun Roy,Fantasy,595.85,1,595.85,NetBanking,Bengaluru
O100060,2/14/2023 11:35,C8749,B1001,Golden Echoes - Vol 2,Maya Sharma,Biography,852.16,1,852.16,NetBanking,Pune
O100061,5/22/2024 1:20,C3068,B1069,Gentle Skies - Vol 9,Rahul Khan,Mystery,453.79,1,453.79,UPI,Delhi
